fast,normal
54,61
52,60
55,59
50,63
54,59
54,61
54,61
58,61
55,62
55,61
55,62
55,61
53,61
53,61
53,62
52,62
55,60
51,60
52,60
53,61
51,62
57,61
52,59
54,61
52,62
52,61
53,62
54,61
57,60
53,61
56,60
53,60
52,61
54,62
54,63
57,61
57,62
55,61
52,61
55,64
55,62
51,61
55,60
55,60
56,62
55,63
53,62
53,61
58,62
53,61
51,63
53,61
54,62
53,62
53,61
52,61
54,61
55,62
55,64
52,62
53,60
57,62
53,61
53,62
55,59
55,61
53,63
53,61
54,62
53,62
54,60
56,62
55,62
53,61
54,61
53,61
55,62
56,61
53,60
56,60
55,60
57,63
52,61
56,61
53,61
56,61
53,60
56,62
54,61
58,62
54,61
55,60
58,61
53,61
52,62
55,63
51,59
56,62
54,62
56,61
52,62
55,61
55,60
54,61
55,62
52,63
54,60
54,61
52,62
53,60
56,59
55,60
55,60
53,63
52,62
55,61
52,60
55,61
51,61
52,62
53,61
53,63
52,61
55,61
53,61
54,61
53,61
56,60
51,60
55,60
53,61
55,61
55,62
53,61
53,60
53,60
52,61
53,61
51,61
54,59
55,60
54,61
56,62
54,61
54,62
52,62
57,60
57,61
53,60
54,62
52,60
57,63
56,61
55,59
53,61
54,63
55,61
57,62
53,60
55,61
53,61
55,62
54,61
54,62
57,62
50,59
51,63
52,63
54,62
54,61
54,62
53,62
54,60
55,64
53,61
52,62
53,61
53,62
53,62
52,60
54,61
53,62
55,62
53,61
54,61
54,62
55,61
52,63
55,63
53,60
53,61
52,62
56,62
55,61
56,63
55,62
55,61
54,61
52,61
55,61
55,61
44,65
53,63
43,56
53,64
40,53
52,60
40,52
37,52
39,54
54,62
39,53
39,54
41,52
51,63
47,60
52,60
54,60
52,60
52,63
51,63
49,58
48,60
53,60
54,61
53,61
56,62
49,61
41,51
55,61
41,54
40,54
39,54
44,99
38,53
40,51
41,58
49,59
39,53
39,52
51,60
47,58
53,58
38,52
48,60
55,61
50,60
50,57
49,58
49,58
38,52
49,60
46,60
54,59
39,53
41,55
40,52
40,53
38,52
45,57
54,62
51,62
54,62
52,62
52,57
50,62
48,60
53,61
48,61
46,61
48,59
51,58
50,62
40,53
39,54
42,54
39,54
41,53
51,59
48,61
51,60
51,61
48,58
53,63
51,64
54,61
52,59
53,61
39,51
40,54
40,55
40,53
47,58
43,56
41,54
49,59
41,55
40,55
40,54
39,53
40,54
41,53
42,98
42,53
40,53
39,52
39,54
52,57
51,61
48,63
51,59
49,60
51,62
42,56
51,62
46,62
54,60
41,53
39,52
40,52
40,51
43,60
45,57
55,60
39,53
39,52
38,52
39,53
54,62
51,62
48,57
50,61
50,57
54,60
54,62
51,59
55,64
50,63
53,58
49,60
53,61
49,60
56,60
51,59
48,61
48,60
53,62
40,54
40,54
40,53
51,63
39,53
39,53
40,53
43,58
49,62
53,62
48,61
49,60
48,58
52,63
38,51
39,53
41,53
45,56
49,60
47,60
40,52
40,52
40,52
43,55
50,57
53,61
41,53
40,52
41,52
41,54
46,59
54,61
40,53
39,53
40,53
44,55
39,56
48,59
52,61
48,62
45,60
55,58
52,60
54,58
50,60
55,61
41,53
39,53
38,52
38,52
49,61
51,61
51,60
51,55
54,61
41,53
38,51
39,53
42,57
45,59
46,57
48,60
51,60
49,58
40,51
51,58
49,56
51,60
49,57
52,59
43,61
44,63
39,51
51,61
52,60
55,62
53,60
52,61
50,62
52,58
55,61
50,61
54,64
54,60
52,58
50,59
52,57
54,62
50,61
50,62
54,59
51,61
56,59
52,59
56,61
55,61
55,58
47,59
52,59
53,61
44,50
43,47
41,49
43,48
43,48
42,47
40,48
37,48
42,48
41,49
41,48
42,50
42,47
44,48
41,49
42,47
42,47
43,48
43,45
42,49
43,48
40,49
40,48
43,47
43,49
44,48
43,48
41,50
47,47
33,45
38,48
32,43
41,49
43,49
40,47
38,45
38,46
32,43
31,43
32,42
32,43
32,43
33,43
31,43
32,43
32,42
32,43
32,43
32,42
32,43
31,43
34,45
32,42
32,42
32,43
32,42
32,42
31,42
32,42
32,43
31,42
31,42
32,42
32,41
31,41
31,42
31,42
32,42
32,42
32,42
31,42
31,42
32,42
32,42
32,42
31,41
32,42
32,42
32,42
31,42
31,42
32,42
31,41
32,42
31,42
30,42
32,41
32,42
32,42
32,41
32,42
32,43
31,42
31,41
31,42
32,42
31,42
31,43
32,42
31,41
31,42
32,42
32,42
32,42
32,42
32,42
31,42
31,42
31,42
32,42
30,42
32,43
32,42
31,42
32,42
32,41
32,42
